@id,name,highway,place,highway_valid
23154467,вулиця Гетьмана Павла Полуботка,residential,,
23154468,Краківська вулиця,residential,,
23154470,вулиця Вінстона Черчилля,residential,,
23154473,бульвар Івана Котляревського,residential,,
23154475,бульвар Івана Котляревського,residential,,
23154503,вулиця Будівельників,secondary,,
23154677,вулиця Гната Хоткевича,trunk,,
23154678,вулиця Гната Хоткевича,trunk,,
23154679,Миропільська вулиця,trunk,,
23155387,вулиця Сергія Набоки,residential,,
23155388,вулиця Олександра Лазаревського,residential,,
23156282,вулиця Григорія Чупринки,residential,,
23180565,Бориспільське шосе,trunk,,
23180622,вулиця Ревуцького,tertiary,,
23180724,Південний міст,trunk,,
23180725,проспект Миколи Бажана,trunk,,
23180851,Дніпровська набережна,secondary,,
23180852,Дніпровська набережна,secondary,,
23180853,Дніпровська набережна,construction,,False
23193710,Дегтярівська вулиця,secondary,,
23196450,Німецька вулиця,residential,,
23196712,вулиця Івана Федорова,secondary,,
23200602,Броварський проспект,trunk,,
23234092,Севастопольська площа,primary,,
23234173,проспект Науки,secondary,,
23234197,проспект Повітряних Сил,primary,,
23234199,Повітряних сил шляхопровід,primary,,
23239723,Єреванська вулиця,residential,,
23239901,площа Конотопської Битви,tertiary,,
23239933,Автозаводська вулиця,primary,,
23239934,Новокостянтинівський шляхопровід,primary,,
23239935,проспект Степана Бандери,primary,,
23240015,Лугова вулиця,secondary,,
23240016,вулиця Левка Лукʼяненка,secondary,,
23240021,Броварський проспект,primary,,
23240072,проспект Степана Бандери,primary,,
23240073,проспект Степана Бандери,primary,,
23240077,вулиця Олени Теліги,primary,,
23240080,вулиця Олени Теліги,primary,,
23240082,бульвар Миколи Міхновського,trunk,,
23240104,Берестейський проспект,primary,,
23250628,Броварський проспект,primary,,
23260778,міст Метро,primary,,
23278427,Броварський проспект,primary,,
23278430,Броварський проспект,primary,,
23286985,проспект Степана Бандери,primary,,
23286987,проспект Степана Бандери,primary,,
23286991,проспект Степана Бандери,primary,,
23286992,проспект Степана Бандери,primary,,
23335712,Золотоустівська вулиця,residential,,
23349944,вулиця Глібова,residential,,
23349945,вулиця Вʼячеслава Чорновола,secondary,,
23386314,Броварський проспект,primary,,
23386315,Броварський проспект,primary,,
23386321,Броварський проспект,primary,,
23389561,Південний міст,primary,,
