@id,name,highway,place,highway_valid,name_type
24995853,вулиця Євгена Харченка,secondary,,,вулиця
25001598,вулиця Катерини Гандзюк,residential,,,вулиця
25001604,вулиця Кубанської України,tertiary,,,вулиця
25001970,Милославська вулиця,secondary,,,вулиця
25001978,Радунська вулиця,secondary,,,вулиця
25002192,Річкова вулиця,residential,,,вулиця
25006719,Азербайджанська вулиця,tertiary,,,вулиця
25017328,Гроденська вулиця,residential,,,вулиця
25224430,вулиця Отамана Зеленого,residential,,,вулиця
25224691,вулиця Павла Петриченка,residential,,,вулиця
25301911,вулиця Братів Чибінєєвих,residential,,,вулиця
25301915,Камʼянська вулиця,residential,,,вулиця
25301936,Вірменська вулиця,residential,,,вулиця
25325640,Поліська вулиця,residential,,,вулиця
25344574,Ташкентська вулиця,residential,,,вулиця
25518288,Голосіївський проспект,trunk,,,проспект
25564452,Польова вулиця,residential,,,вулиця
25621545,вулиця Миколи Вінграновського,residential,,,вулиця
